epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,617.065,1.0357,1.919,1.40987,0.85542,0.74281,0.86371,0.5938,1.00556,2.01576,1.47963,0.000549755,0.000549755,0.000549755
2,1227.78,0.92947,1.14269,1.27424,0.90871,0.96465,0.97896,0.7603,0.78192,1.23316,1.24413,0.000558238,0.000558238,0.000558238
